,Group,Sentence,Expected_Referent,Pronoun,LLM_response
101,26,The accountant and the financial advisor analyzed the budget because she detected an inconsistency.,accountant,she,withfthe.andtheisthemhenfmwdheedandthehendandthethefhefetendheetdheadetandadheoffeddedetdheddheedwedetadedbwestedheeddedestetheedheeddedadededestetheeddedetedadetheedftedetededeeddedetdeteddeded
102,26,The accountant and the financial advisor analyzed the budget because he detected an inconsistency.,financial advisor,he,withlthebeirpbethenthethhethethethetheofwthetheesthhetestheheestisestystthethefestethiswstestwwstttestttestdheesthstestdstftetestttstttesttttstestettestystettstetttestttestttstttstttstesttttstesttteststeststeststettttesttt
103,26,The financial advisor and the accountant analyzed the budget because he detected an inconsistency.,financial advisor,he,fandisandinthe.andinadandttheandandtheandandtheandendandedandedendandedandedandedandedandededandendandedendedandedandedandedandedendandedandededandededandadandedandedadandedandedadandedandedandedadededandadandadandedadededandedadandedandedandeded
104,27,The judge and the clerk reviewed the legal documents because she noted an important amendment.,clerk,she,withandthethetirthehethehetheandhethehetheestaheththedheattheheatheheethewheadhethetheheadheodheavheadheathehethehetheethadetavheadavetedheedethadwetavtheadetathehehededethetodvetadwavedetedheavheadethehetetheedhetet
105,27,The clerk and the judge reviewed the legal documents because she noted an important amendment.,clerk,she,thewbenasdhewnldwewrstessöwhwndess.eeswhedewestwestfandhetstemdyemwldtwdwbwegeseathewallfowhitfwsestdheandwaldestwedelewendfestelfedaleweredestetmhefftedestedhetest
106,27,The clerk and the judge reviewed the legal documents because he noted an important amendment.,judge,he,bofhelewithtofandofhethefheetdlesandetedthetththeandstthedfwnasofdhehhenftheesthewnderetofreadtheofetthhehfhehedheesdhettheedseettheseetmhenfetheedheetdhedseedhthehedheedfetheedhefdetestdheherf
107,27,The judge and the clerk reviewed the legal documents because he noted an important amendment.,judge,he,"andandontheidwofdndthe

``thefheant

 nd  t t t
  t��� wntwanhwedwtemdkeddmtwnndwemmwawemwrtwfnwimmnwemdwamdetw
tWwnemmwemwwnmemwWwem"
108,28,The marketing director and the event coordinator organized the promotional event because she secured a sponsorship.,event coordinator,she,hefanditheolfwndnalyndodflddwndteditlndesttestedwthewtndisteddthedwdfdddW&dt.teddwhedthedWwedddestdhededdedestedhetededeedeteddeddetededeteddheteddeedestetedeedeteddeted
109,28,The event coordinator and the marketing director organized the promotional event because she secured a sponsorship.,event coordinator,she,.fdiandandthearehefsanderandanofhendandtandndfandndedheldheetheheiefdndandedadedfedefederedfadfanddeamedandadafdhefeddaderedetedemfadfeddefeddedadfdeedadederetfedefertedetfertefedeffedetedad
110,28,The event coordinator and the marketing director organized the promotional event because he secured a sponsorship.,marketing director,he,lwithhetheheisthdldandwithandthewithhethehehwiththethwithtthewithhhetehewthewandhethehehethefhheedweththeheadwiththehehwithhehewithhehetwettheedwthehewthewithewithhehewthefwediththewiththeethwithhehetwiththehewithhewithwheithwiththehewith
111,28,The marketing director and the event coordinator organized the promotional event because he secured a sponsorship.,marketing director,he,andsthenheomthethe.nwndnthemasftdtftleheheitThemeftet.thetdnerestihegiteesthehettheddhiedthhealetesestfteddtheldestteheestheeletestdhehetdhethaldstedeletisthehetedstiethetheltstedheethe
112,29,The researcher and the data analyst studied the survey results because she identified a significant trend.,data analyst,she,withsoainiswettheiethetharendhe'estdheelthheththedwthhstethwtheettheelheiewthheseestthehehstheheteetelhedheentheadetheedhewheetedwelthheneetthedadwhheedwahehetethehedhhethhedhetedhedhehetethehededthew
113,29,The data analyst and the researcher studied the survey results because she identified a significant trend.,data analyst,she,withdheittheandsttheis;heetheltheetmhealetistethehetetheeitetfalcethealaddomfistefheetheiedittheheitheetthehedetlieimdtietestfadistthetadhetadetftdhelfthefttedatdadeteddhntestedteledimftmdet
114,29,The data analyst and the researcher studied the survey results because he identified a significant trend.,researcher,he,andthethehetheathetthefhesdthehehthesthehedhethhedstedheedheedhehdhedheedheietetheheeddieteddietedhedietedetheedheetedstedetheedietedettedeteddedeteddedetedeteddededetedetedetedeteddededeteteddedetedet
115,29,The researcher and the data analyst studied the survey results because he identified a significant trend.,researcher,he,withisheltitehefinthheontmheheestheelheisthehhetehethethhetheststhetstestethetisetdstietestheststhetwhetlherthedetistesthestheesttheestetalhetestetheistteettheesttheheestisthetstetheteststheteststheteststheteststethetisthetetst
116,30,The architect and the interior designer discussed the renovation plans because she proposed a new layout.,interior designer,she,andfthehe'thehewistheisheistheareheitf'eadheisfmdandelefesteffeldefedufhewomtemwedwethendomedwethdafdhefwmWfwiswisfwawwwdwewftwfewwefisefwiswemwiswwdwewdemisfewisedewedfewefedef
117,30,The interior designer and the architect discussed the renovation plans because she proposed a new layout.,interior designer,she,andthewheadelndlthehethehewestthehewheidtheomethehewlnedewadetestwedheowwhedhedwedwetwwhewededwetheeddedheedweedhedhewwededwdedwewedwwdedwededwdedwetedwdedwdedweeddedwededwedwededdededwewd
118,30,The interior designer and the architect discussed the renovation plans because he proposed a new layout.,architect,he,wthheistheandofthehetheheislocheftheheeststhehetheidandestadhethedtheisheetisdethistesthehendetheetnheedestethhetadedetisthehetetedishentedheedisetdistedheedetheedestheetadedisettheadetheedetistedheetdeeddedett
119,30,The architect and the interior designer discussed the renovation plans because he proposed a new layout.,architect,he,the.t.isn.istis.wthtwadnththeöom.tethhisstdelhwhetdöhistdöetdedhheisdwdehefttwetithew.ethewttwfthwitwetwisedwethedhtheedewwdel.doemwottdehewidetnisetntis
120,31,The computer programmer and the web designer updated the website because she suggested an innovative feature.,web designer,she,;stheoffthe.thethfandthandesttheofted'fandhehefleheetthhedcdetndethetteheettehetefhheteheetheletheetfethtedettfttehetnthehedhetedheethehetetdetheettehettethehetthedhetethehetetttthedtehheedheettt
121,31,The web designer and the computer programmer updated the website because she suggested an innovative feature.,web designer,she,theetndandwoffaw.andtieatewanddwowndisndiseweolisawewawandwewweselndowewwowwewndwawedndwiwandwediwweedfewwweweddowwdedwdiwndedwdedwewdedwteddedweedwereddwdedwdedderedweedwdedwdedwdedded
122,31,The web designer and the computer programmer updated the website because he suggested an innovative feature.,computer programmer,he,"w
;andandhetonthhe.|itndofnitdheetndamonttheomheemdnddnndhendthehedatonndnddtheesthehendomeldedaldvedfedelheedeldemftedheeldemedded
dtheedlelededeeldeedeleddeeldedeleldldedeleddededeleddeel"
123,31,The computer programmer and the web designer updated the website because he suggested an innovative feature.,computer programmer,he,withfinaretthewtheonfandieanfwthemheomtheiswaldyidlenseomheelthedestedfenefetialthefheiehemletheetalheestfedefelefldheffedelomematadenteeddesestareheddatetatelliftheestdelfetefetefatetdatethdeftufest
124,32,The consultant and the assistant manager planned the strategy meeting because she anticipated a market shift.,assistant manager,she,withtheinwthetleaidheetfcellmetthenofistieemeddaderecinceinandedecatmdbenaladdiefndaeddenftedfowettheedfdediededareetedhedtheeddedeadedweddareedwetedwedadedederedweddereddedededfetwadededeted
125,32,The assistant manager and the consultant planned the strategy meeting because she anticipated a market shift.,assistant manager,she,andthethehefhethelandthethehentonthehentestndhetwntendatheestntishentettlwftetthelisasentlhethetetfentestetheisntetpetedhetetlheestdheetntteetteedtetetheteteleltesthetestesthetietetheeletestelhetteteleltestethetet
126,32,The assistant manager and the consultant planned the strategy meeting because he anticipated a market shift.,consultant,he,thofheinthebehethefisteetofreandhethenlandattheestheenndteaswlhetheftheishentthearehehedthearehehehedheastheedisdheendetidertheeadheetheededeadheidheadeedatadthehearetheashedheieedendedesttheheadaretadedeadedded
127,32,The consultant and the assistant manager planned the strategy meeting because he anticipated a market shift.,consultant,he,theofhelheenhthhendandentavlyandaofdhefdandthofvhentfedidwftnndadfftfndfdfnddelndwneddavemndestemfwaidfedldedyeletedldedetelisieendereetdieorerdetedhefedhwwedfeddeelerdestyedfedweedd
128,33,The editor and the proofreader reviewed the manuscript because she found several errors.,proofreader,she,andthe thetthetheofheelhetheoofleftheystthehethefhethethefheesthereatthehestheestthheoflthheiststhehefthhehetistheheeststheetsthedheeststheeststheetstedheeststheteststheeststhetiesthedheteststhetsthehetetstethestheetststethesthet
129,33,The proofreader and the editor reviewed the manuscript because she found several errors.,proofreader,she,fthethewithhehetedtheththetthathheisthedhtheehetedhedhetheftadhehhehethhededhedetheesthedhehehededhetethehededhetetheetisatethedededethettheeddeetesthedettedetedhetetededeetedhededetedetetheedettethetedhetetheetedetteteded
130,33,The proofreader and the editor reviewed the manuscript because he found several errors.,editor,he,eeedwadtheandthofheätheandheisheelffhesefalelandftedfttheiefndtheftfnddhefhetdftandhethheheftetellheodtheestthehefthefetteatndthehetthehestwthfteldatthetheetheellheestfestthheeldheetldidetidteestelhehet
131,33,The editor and the proofreader reviewed the manuscript because he found several errors.,editor,he,"andtthe?.the
.anditthehetheestheandttheelhetheathheiethsthehetfisetnteletasestetdheetdheistitesthedhehheetteetistheethhedisheettehetadtethethehethesthetesthehetitethehetietethetettethettehetettyedetthetettteteltetethe"
132,34,The director and the producer planned the film shoot because she outlined the production schedule.,producer,she,andtthefhewdhethelemthidmofdmewvadcthendctheedwthednweTthemedeadradedamediswestedheedwedeededweedmemdfistisemisieddededemededwemedidemestemheemdeededweedmeedemeddedmeedemweeddemedndme
133,34,The producer and the director planned the film shoot because she outlined the production schedule.,producer,she,anddtheofontheheandftheidedtheedtheheththewthearehethhedhetheofheththehethehethehethehethehetheesttheheftheheashettheeadheetheestofhehededheedatfesthehedhehededwedetadedheatdhetedhetedhededettheadedftedetwdhededetedeted
134,34,The producer and the director planned the film shoot because he outlined the production schedule.,director,he,"'csunnis..
.in’the
andhthecand..othewlandl.the’dand.and..andeisrand.eeddl.andth’..
edorndndandetienand.’lnisedoddadeimmd.tideedlemedeldinem.tetldademeddeelldhe"
135,34,The director and the producer planned the film shoot because he outlined the production schedule.,director,he,withc;thetirtheheislhbthehnyrofhehef.thehethehedhethetheheetmetyhethehehedhthehethehehetethewmheetaheheemdetemetematadheetedemetetheedetmetemetteemetethehedetemedetheemetetmetemheetdhetetdetm
136,35,The sports coach and the team manager arranged the training session because she reviewed the team‚Äôs performance.,team manager,she,andthethehestnhheAtheernisehewestrheistthehewestdheesthehestedheistheheedseeststhestdhedstethestestetedestethedstesthedeststheestthestdetestedeststhetesthetestedstetestetstedheestedheetstedetstedestiststestedetest
137,35,The team manager and the sports coach arranged the training session because she reviewed the team‚Äôs performance.,team manager,she,ftheheisthedhethetthandesttheofthhhewethewithhehetheinwthaedndodheanwenwedthehedandetthedethedetetheheetftwetedheedheedneddedetathedheedweedheedestetheededetedheededeteddiedhededetededetedheedetededetedhe
138,35,The team manager and the sports coach arranged the training session because he reviewed the team‚Äôs performance.,sports coach,he,the.theheandhefwithheoestanheieanthehetthhedfanonheieetheisneteheieisietiheheedhetntdwteethheandtheotethteetdwetheiseddietetdhentendetetheetishetndeteieteethetstedhetetheedetiethehetentethehetestetnd
139,35,The sports coach and the team manager arranged the training session because he reviewed the team‚Äôs performance.,sports coach,he,e.tfthefhewtftmheiastinrldb.fasetheedfathhewldtheerthedisofishedtheesadesnfasremfiedadedefedasetdfasndmasethedeasfdestedheestdheetftadiseddefasdheftlddheemedftedetadistnfest
140,36,The zookeeper and the veterinarian assistant prepared the animal enclosure because she checked the health reports.,veterinarian assistant,she,andthetbehthehedthehtheerbedhehedthehehedheheestedhededhetedhedDEeddedettetedhededetedhededettededetettedhededetettededtedettetedetettededetettedetededetettedetedettedetettededetededetteteddededetedettededetedetedettededeted
141,36,The veterinarian assistant and the zookeeper prepared the animal enclosure because she checked the health reports.,veterinarian assistant,she,"andttheisheaidtheferasthathehwtheelheaswamtheacfanhethedanthehedheestthehehheatedheedtheedtheelheasedfheedheed
Dhethenheestheemfestedheetheedtheestfthehetheeftdheatheatestfstedheeadatthefatetedatadatamheetest"
142,36,The veterinarian assistant and the zookeeper prepared the animal enclosure because he checked the health reports.,zookeeper,he,"fdhewiththeanhewandnesswiththheamtheandhetheheiswnbiandessieesernldreshheesetendtheestheherheethemthehehhethetthehertheieshe

theedettheedestomiedendesttheetheedtheedheedestedheedheedheiedseedheedthedieedheedddedhed"
143,36,The zookeeper and the veterinarian assistant prepared the animal enclosure because he checked the health reports.,zookeeper,he,andfthewithdtheandfthehethettheisdnftheheesthetheesttheettheestfieistetestisththetthethehetstieheestedistestetedestestedetestetestistetestetestetestetestetestetestistetestetestistetestistetestetestistetestetestistetestetestestetetestistetestetist
144,37,The hotel manager and the event planner coordinated the banquet because she finalized the guest list.,event planner,she,andtheditbhebwthedfwithfmofethewistheatimhehtdhwmisdisedetlheawtheethetieheitthemsehehlthehedfmfieetieeddttedhiethhethhemfatedhethetheetthehemttheetfthheetfhedseetfhedhedheed
145,37,The event planner and the hotel manager coordinated the banquet because she finalized the guest list.,event planner,she,"
.sdilltheawhewtheathew.ewnwandhthewmieandhethenwandthewhenetheemheandemtheheandtheandhethewemeteadhemandettheheandheanddtheewhenwdndemeadandtheandeadthetaretheheandtheandemtheandtheandtheandtheandhetheenandattheamandeadtheet"
146,37,The event planner and the hotel manager coordinated the banquet because he finalized the guest list.,hotel manager,he,"anddtheorhethefhethentofiethendodthethenddthe

thendwithandhethehewithhethehetheendheonwithhehethecemetatheemseoedheonheethehemhendetwheithheareontalheowwithenddontheheavwithnheemhedehehendheonthehedheonthehemtvall"
147,37,The hotel manager and the event planner coordinated the banquet because he finalized the guest list.,hotel manager,he,anddthehetheofwtheWwthefhetheetheheofthemwhethenetthewthewwdthehetthehthehethehetheetdheidhethehewdheidthetheetdhetheethehedheeadheledwdedathehewdedwdedesttheheneetatedheestheettehededeetedatetedheedatestathehethe
148,38,The investment banker and the financial analyst evaluated the merger because she projected future profits.,financial analyst,she,.thebetheamheourdfwfdnd'Aetthe'dlfdadisaidthewhe'etwaredendomestisharedndeteadhedaredldesckdemdegetareestdemedatemwedthedisareedlthedeemedkeetedheetseeddeededetmeisestdeheedmeeddeedteted
149,38,The financial analyst and the investment banker evaluated the merger because she projected future profits.,financial analyst,she,andwiththethenhethefthehethehewtheawthttheWetthelWeithWheethewsWrfWwtheethwenetishewtheeewhewWfowewethwwiswoathedestlWestetedwdenledestweheeedtheowwithwetthewdweadweemthetfwdhedestetheweedthewted
150,38,The financial analyst and the investment banker evaluated the merger because he projected future profits.,investment banker,he,withtheaofleldwalabmankthethelthehefthehethefheestlwedkenldhewyestwandthedletheestheherandeselandtheetseheweneteheinedemedandeletediseladedweeledstedhethenedetedheatwetertreettwodetedwheertedheem
151,38,The investment banker and the financial analyst evaluated the merger because he projected future profits.,investment banker,he,the.theanotaHntleonnasthldadandeledthehefelldewntnisthehedbedhhefemdedededeelestasherendemedhedseedadheesteddedlhheediseldheeddedetedfedmeddhedddehedheedadedfeddedeteddedeteddedde
152,39,The IT consultant and the technical support specialist troubleshot the system because she detected a network issue.,technical support specialist,she,aadthewfthepelrohentEhefthehwndmhfwiscemwmtfntimWmertwheiswdmemtetfrayetediswemetitwestisetwetdedwehisimwatfwtetwisetftwhehedemwdisetwcedmanmwmedtawwcemmetdhet
153,39,The technical support specialist and the IT consultant troubleshot the system because she detected a network issue.,technical support specialist,she,.aheftheheirndthedntheltheestthefdheetheheirhethehfheiheattehedheetthattheaedfdDheheadheethehedhedheeadedetheedhehetheedheedheedheedheedereterhededthefedhedhedheedestetheedheedesthehedhedetheedhet
154,39,The technical support specialist and the IT consultant troubleshot the system because he detected a network issue.,IT consultant,he,.nfimhefwithsisesaIHfestirffheamhefose'fheiefdiethefealdfdaiseamidestifheestfestlestfmfofheeddfdfhefldfntftlftheetalestnhetheetdheestlallttheefadftetftestadesteheismeletldwftam
155,39,The IT consultant and the technical support specialist troubleshot the system because he detected a network issue.,IT consultant,he,ofalthethandththeselvetheelaiestheetfthehethehenthehethetheheithalcerelffieelalthaTHedetheiedhedelHstetheheetheheeefthhetfhehetethethathetheesteldhefetthedestalhetehededetlhedesthhehededetethehedfedetedhedelhedheed
156,40,The professor and the research coordinator prepared the research proposal because she gathered critical data.,research coordinator,she,ethe;thedtir'withandtheareheinittheheethehetthe.withthethemetainwithandheetthethetdhewwithhedhethewithhehedheettheetdwithethewithhehetetwithathehehetethehedetathedheathedheetheatethetwithedheedheedheietetheedhettedhetietedettett
157,40,The research coordinator and the professor prepared the research proposal because she gathered critical data.,research coordinator,she,aenhe.andthetare.thehetheheandtheerehehethehetthe.thethehettheeadfidheidheaditthe.hedthethewheetdestedhehenethethhededettedheddthedheedettedtheedhedteddtddtthethededttteddedtedddedttedhededtteddted
158,40,The research coordinator and the professor prepared the research proposal because he gathered critical data.,professor,he,ftheethetbeandhthehedestdhehesttheandheeadhresthhethhedesthehetostftheheestdheandestthemhehehededhestedheestthehehsthehehestedheostisthehetlheeststhettheestedhetheedheesthehetisthehedestethetheedestthehetesthehetetesthetheeststheet
159,40,The professor and the research coordinator prepared the research proposal because he gathered critical data.,professor,he,thethpafofheon;fthehefdhefdofftthefftthetisttthettefetvstidestetftfdvwlwdbdftathefetthheedfestwestendestestfestedhewestbtedetestetheedestethefetestelttedestestheetfestettetestedheetdestedhetest
160,41,The software engineer and the quality assurance tester ran diagnostics because she uncovered a system bug.,quality assurance tester,she,withtheitnthetwt;theitwandfwnarefheemhednthefdhewtheenieestwedteemheisnfisditheestfweetanestefheemfetismetandetemisdofftfitettttheiderestntteheestftedestetfieettatmemisfseethltemaremtted
161,41,The quality assurance tester and the software engineer ran diagnostics because she uncovered a system bug.,quality assurance tester,she,withel.iswisWarededbehedamandiseddedeeddedddhewdfdhewtdadedaetwhededddheedbeddeddedsenheadedfedaieddeddedestedheedendeddeeddheeddeeddededeedededeteddeddeeddedetedwdedetededeedded
162,41,The quality assurance tester and the software engineer ran diagnostics because he uncovered a system bug.,software engineer,he,withnthefdentheendhetistheaidwtheaiddendndestedheeldheedtheelheeddedtheiedendedettededetheedithedmesetittheemnedieeddedendetheetedetedeteddetheedndedeteddededeetededeedeteddededeteddededeteddededeteddedededetedd
163,41,The software engineer and the quality assurance tester ran diagnostics because he uncovered a system bug.,software engineer,he,withwiththeitnwiththefand'thethewhewthellwisfdWawaiswidowtetawelowheowwwithhewdetwdatwlorwwithwithfdemwewfwdwwwnelwetedwtwithfemelewbeletawwelithawdeowewdetnandhelisendawetdawweetfedelw
164,42,The car salesman and the financing officer discussed the deal because she clarified the loan terms.,financing officer,she,isofarehealtheestandttheandimtettheifelindanddtheetendtheemdemndemanddeemthendmendnteteheamtfimieftwemeredemitdeemmecdetntteemendftemfandcemdemndthemeftettftommandennememfmfentemetmelemntetemmtet
165,42,The financing officer and the car salesman discussed the deal because she clarified the loan terms.,financing officer,she,andfthehefhewsttheheithafalhemftehwetnndfdhethefhefevhevedfthehelthehethehewftemtheftthewisddethheftesttheheemhethehethehethewheadheetheststhewemedftedheisthetheheddheesttheheestheetdedctestheetst
166,42,The financing officer and the car salesman discussed the deal because he clarified the loan terms.,car salesman,he,ee;atheasthefheifhewlwthetftndthealftheeftfisefnieetieetistestheisstiefedefieefetefistefesteffefetefeteffietiefisteffefeteffeteffesteffiftiefistetefesteffefeteffefeteffesteteffiefefesteffefet
167,42,The car salesman and the financing officer discussed the deal because he clarified the loan terms.,car salesman,he,;thesisthinthe.theashesttheheiehetheestisheefitheestfhefestthheadthetheesthehetestheheestadheetheandetifitestheitlesttheitsthehetvetfittehefestefhedatiehestalheeststhehesttehealstesthetsthetestfestaleteststhehetstest
168,43,The musician and the sound technician rehearsed the set because she adjusted the acoustics.,sound technician,she,thecfthheandwthentyndathisHendneHhendhetdavemhehhemteheheshenhafheestdheetdheadheodhheetmheethhehhethhehetodheethehhetthehehhedhehdetheadheomhaethheadetheethehehetethehedhehethedehethehedhthet
169,43,The sound technician and the musician rehearsed the set because she adjusted the acoustics.,sound technician,she,ptomthendnttantthewftthentttheldfemmeefmdtheemfmntemtheemfdememefndtheheftntmdestemimentheefwantfttemeemetefhedestntestehendtestndsestetemeftefnndremistemheeststteeteststheetstntesteststhestest
170,43,The sound technician and the musician rehearsed the set because he adjusted the acoustics.,musician,he,andnthe.hheirhewentf.theheitdheamfthehdheeradethereattheheettthedheehehetthehehetethehehdetcehethehetheftdeheetheetdhetheetfestefhehetettdeteettehetthehehettheettthetodetthehetdetettlhetheetdettehet
171,43,The musician and the sound technician rehearsed the set because he adjusted the acoustics.,musician,he,wandestthehe.andetheandhethethndtheandthetheandhethehenddatheamlideofonthehefheonttheithdadththeetthehethehethedthefastthehedhethheestnostdhefdheothstydheesttheheatsthehetostherheetdhestheheetestdheethehedthhedhesthe
172,44,The sports commentator and the field reporter covered the game because she received a breaking update.,field reporter,she,wofaelaferalfelefandheemfelefiddfhelndheestfnndieftededalfheetftestftemhegfeltiedmestdetomfhefeteffemestftestftedesteftemffdftftfftemetftftftertfdemftfemeffelmfedestedemftfemmfestem
173,44,The field reporter and the sports commentator covered the game because she received a breaking update.,field reporter,she,thethetheandtthedwltfeestwheanddestathheestandestetheatfedasthehesedhehhehestethheadhewthsthetheemdisestethetestheherdethethdestheheftdehethhetesthetestethestesthehetetestethehetistethehedstestetltesthetesttyhetett
174,44,The field reporter and the sports commentator covered the game because he received a breaking update.,sports commentator,he,thetheletheorldheferdidetahefheandlanlideleatdwernddthefttheedlefethealmedidettednemfesteltfheedetetheldemetedheeltldldendeethednderdemyestetletestdhevyhendeterheentfetalhedfedietheedethe
175,44,The sports commentator and the field reporter covered the game because he received a breaking update.,sports commentator,he,efheplsdaftthethedsedptfddkestflrptLotmwimttwmthetWDmTtmedtwktvndmemdtfrmtdmedntdmntrmhtmemdtftdheimmntmtmeesthfrdemetteletestemtmtdeelmetemedtemelt
176,45,The lifeguard and the beach attendant monitored the pool area because she spotted a safety concern.,beach attendant,she,"ofofthedwisldwnddfedldelwlllelwhewtdweowwdeedwdwnwwewweewheetwdwtheedndeswetndwelwdedewewWewdwdeedwededfwedewwmedweeddedw

wdetwedetderedweeddewededdeedetthewerdedet"
177,45,The beach attendant and the lifeguard monitored the pool area because she spotted a safety concern.,beach attendant,she,.theheanddalonofhewthehadwoheandedidenestndtetndheontentheidthenhetheedtheedendtheedheenheddadededevdieededandontavedvedidedenedieendedavtheetedendedededeadendeteddededendededendededeteddedeteddedetedendededeted
178,45,The beach attendant and the lifeguard monitored the pool area because he spotted a safety concern.,lifeguard,he,;andtthewthearehedandthetfwthedhenthehethehedheandedtheedethedareedandeteadetheedhetesttheheethetethehefthehetetheethhuetdedeetedhededetedhetedetheedetheetteedehetedetheetetethehetetheetthyedeteddedetetheetedhetededeedetededeetheetty
179,45,The lifeguard and the beach attendant monitored the pool area because he spotted a safety concern.,lifeguard,he,of.thewestdhettomwandwthelwastheheemwthehehedwmandestthehehtheweandwethetheheheedthefedewweheandfhehedhehehehewdhewetheheweedheetheheedmetheemheesweemwededethehetedintmwenedntetheheemhetheowheonedettow
180,46,The author and the literary agent revised the draft because she received new feedback.,literary agent,she,withsheidthand.se.;ethedbecwendetwittheheelndightseiswfhehesewlfdlaedhheemthemflfcwheatfwseleswedwterthewcdndhewyedettederterwderemwewerddesetwwedderertweedderetweederterehetert
181,46,The literary agent and the author revised the draft because she received new feedback.,literary agent,she,iswantydГnm..tdfyand.ewdeidfwbanddidtandynlandadndntelnddellededwfdodedeledidedendwelddeledidededendeleldideldedeledidededelederdedeleldendedeleldendedeldedeleldendedeleddededeledededelel
182,46,The literary agent and the author revised the draft because he received new feedback.,author,he,"isfldnfnof

	
 the ánathenarhetfofwp.ntheerendtheestfhewfwfandethatthehefded.fdtcescefeldtheatnddftedfhedehefdatFedefestdheetwestfthedtehedheesttheetvethefdeheiedhefe"
183,46,The author and the literary agent revised the draft because he received new feedback.,author,he,".the
 månwetis
 and�ntheiwedmchewowdedbthegdwtgcvfetteetfceldettdtnettdtectheetdddettelettreddetpittlettedbetdedtetdetettetwetdbteetddendetedeletgedbttette"
184,47,The optometrist and the optician reviewed the patient charts because she adjusted the prescription.,optician,she,faidedERbdwadwtwthentbaftemesttheheernedhdfterestemheandmetetherstedheedemwedisetemremestedheedmedettheedremedestmeddedwedmestetemedediteederdtheistemedesterdedtheedmemedetedernrdededtheestremheedweddedem
185,47,The optician and the optometrist reviewed the patient charts because she adjusted the prescription.,optician,she,theandfthehefordsftealdheiehenthmothetheöieestöestghewandwöhheöööhtheheerbtethedte.fwheseieltitethewandrhewhendfohehedheetdhedtheedetfhetheedwdethheedwttewthlhehttetedhe
186,47,The optician and the optometrist reviewed the patient charts because he adjusted the prescription.,optometrist,he,.ahehe.thetisestisheestfhefttheishiswisandththeheistisheestthehewftheheitheathheatfethethwfthewofndthehehedheedestfhehedheherheftheheathehedhethehedheedesttheheatishethehetethehedestetfendistheethehededetethehedthe
187,47,The optometrist and the optician reviewed the patient charts because he adjusted the prescription.,optometrist,he,theasisarethebelie.asachandlowwiedarehyeisldflweaslemtnseemetenwown.inesttheeadmandistheenemieestyemedetmhealndemseethewmowadheadmwemitemheemwedesbemimetesthehetwitetatemwememisetal
188,48,The banker and the loan officer evaluated the mortgage application because she noted unusual figures.,loan officer,she,with;thethenhetheandhethetimofandtthetheherofalthestehemndhehnfaellthheethhehelheheseletthhealmlefheelhathheelhehesetfthehehetethethetfhehetthetethehedethetthhethetelethethfthehetetheetishetethehetetheetheedelet
189,48,The loan officer and the banker evaluated the mortgage application because she noted unusual figures.,loan officer,she,of.ntheistanddandtheidhewodetleestdheandthesttheestnheandedtheedheetedatedpdieedftetedheedendedeteddieedetiedediedeteddedededeteddedetedeteddededetedeteddededetedetedetedetedetedeteddedetedetedetedetet
190,48,The loan officer and the banker evaluated the mortgage application because he noted unusual figures.,banker,he,fdhentwithntheandhethetadandththeandmthethndetemheandtheandhethehedandththeandathheandtheandhetheheedandandemermthendemetheandisetthenderdareedndetedheedndedetndandendemeedendedmeeddemedemedndedemededeteddendemeemedededememeended
191,48,The banker and the loan officer evaluated the mortgage application because he noted unusual figures.,banker,he,withandallandtheandheallandetheleandndandeledanedfanhefandleelandoandendinidandendelnenddeadededandedlandedfandreemandendandemandendedandendandedendedemendandedendedemedandemedndedemedandedemeddandemeddeedemeddedemededemedded
192,49,The economist and the research assistant analyzed the market trends because she uncovered economic shifts.,research assistant,she,andsthemhe.fhetmefmomesalhesisidisemdemmeandodnetlidheemremidltheemfidltheheemstesheelmidetfhemisndisidedemmeltiefheestlwedemntheemseistheestdhemndmeieedmemmestdheismledtheedmomdeteme
193,49,The research assistant and the economist analyzed the market trends because she uncovered economic shifts.,research assistant,she,the'm'fwdiswdimwmndWemWwmwdwfndamwweemwawwemedwwdwewedwedwWemdewemWewwdemwWwdemedwdedwedwedwmedwdedwedwdwwmemewedwederdwdemwdawedwwdwerdederdderwwderdderwdedwderedwedW
194,49,The research assistant and the economist analyzed the market trends because he uncovered economic shifts.,economist,he,andandemtheandhethe.dwesiralheawmomenddhendtnemndisentetheestndoteradiendeadtfdnddmitthehepetradandetadendndotedndthevetdendedltheednedldneldedetemetndedetedldedeledendedoreddeedeledendedetedd
195,49,The economist and the research assistant analyzed the market trends because he uncovered economic shifts.,economist,he,"sofdhestcfwv.
 kennisthemwo.fwhewthdheftheWdandvn.wtmhewwnthetd.wweyndaawmawddwddtheewdhehedishoftwhndwddedewedtheahedwdetwdwtatedheeddedweeddeddedewheetthehethedwd"
196,50,The urban planner and the city coordinator developed a new project because she secured community support.,city coordinator,she,;theorand'theandaretheheheandfthe'theandathetheandhetheheandhetheheandandandendemendndasendetedaseheendedendededendededendedendedendededendededededededededededededededededededededededededededededededededededededededededededed
197,50,The city coordinator and the urban planner developed a new project because she secured community support.,city coordinator,she,andhtheheishenandsthefiresthayehtheäwtthedheetdhenettetfadtwd ofetidstemheiddestedheedndestetheisedetheedetdedettetheetetttehedddeddettetheedettethetetedhedettttettheetettetedetettddedettttettttedettet
